,0
ackley,ˈækli
ackworth,"ˈækwɜːθ
"
adair,ɐdˈɛ͡ɹ
adel,ɐdˈɛl
afton,ˈæftən
agency,"ˈe͡ɪd͡ʒənsi
"
ainsworth,ˈe͡ɪnswɜːθ
akron,"ˈækɹɑːn
"
albert city,"ˈælbɚt sˈɪɾi
"
albia,"ˈælbiə
"
albion,"ˈælbɪən
"
alburnett,"ˈælbɜːnɪt
"
alden,ˈɔːldən
alexander,ˌælɪɡzˈændɚ
algona,"ælɡˈo͡ʊnə
"
alleman,ɐlˈɛmən
allendorf,"ɐlˈɛndoː͡ɹf
"
allerton,"ˈælɚtən
"
allison,ˈælɪsən
alpha,ˈælfə
alta,ˈɔːltə
alta vista,"ˈɔːltə vˈɪstə
"
alton,ˈæltən
altoona,"æltˈuːnə
"
alvord,ˈælvoː͡ɹd
amana,æmˈɑːnə
ames,ˈe͡ɪmz
anamosa,"ˌænɐmˈo͡ʊsə
"
andover,"ˈændo͡ʊvɚ
"
andrew,ˈændɹuː
anita,ɐnˈiːɾə
ankeny,ˈæŋkɛni
anthon,ˈænθɑːn
aplington,"ɐplˈɪŋtən
"
arcadia,"ɑː͡ɹkˈe͡ɪdi͡ə
"
archer,ˈɑː͡ɹt͡ʃɚ
aredale,"ˈæɹɪdˌe͡ɪl
"
argyle,"ɑː͡ɹɡˈa͡ɪl
"
arion,ˈæɹi͡ən
arispe,ˈæɹɪsp
arlington,ˈɑː͡ɹlɪŋtən
armstrong,ˈɑː͡ɹmstɹɔŋ
arnolds park,"ˈɑː͡ɹnə͡ldz pˈɑː͡ɹk
"
arthur,ˈɑː͡ɹθɚ
asbury,ɐsbˈɛɹi
ashton,ˈæʃtən
aspinwall,"ˈæspɪnwˌɔːl
"
atalissa,"ˌæɾɐlˈɪsə
"
atkins,ˈætkɪnz
atlantic,"ɐtlˈæntɪk
"
auburn,"ˈɔːbɜːn
"
audubon,"ˈɔːdəbˌɑːn
"
aurelia,ˈɔːɹᵻlˌa͡ɪə
aurora,ɔːɹˈoːɹə
austinville,"ˈɔːstɪnvˌɪl
"
avoca,"ævˈo͡ʊkə
"
ayrshire,"ˈɛ͡ɹʃɚ
"
badger,bˈæd͡ʒɚ
bagley,bˈæɡli
baldwin,bˈɔːldwɪn
bancroft,bˈæŋkɹɔft
barnes city,"bˈɑː͡ɹnz sˈɪɾi
"
barnum,bˈɑː͡ɹnəm
bartlett,bˈɑː͡ɹtlɪt
bassett,bˈæsɪt
batavia,"bætˈe͡ɪvi͡ə
"
battle creek,"bˈæɾə͡l kɹˈiːk
"
baxter,bˈækstɚ
