,0
adair,ɐdˈɛ͡ɹ
adams,ˈædəmz
allamakee,"ˈælɐmˌækiː
"
appanoose,"ˈæpɐnˌuːs
"
audubon,"ˈɔːdəbˌɑːn
"
benton,bˈɛntən
black hawk,"blˈæk hˈɔːk
"
boone,bˈuːn
bremer,bɹˈɛmɚ
buchanan,bjuːkˈænən
buena vista,"bjˈuːənə vˈɪstə
"
butler,bˈʌtlɚ
calhoun,kˈælha͡ʊn
carroll,kˈæɹo͡ʊl
cass,kˈæs
cedar,sˈiːdɚ
cerro gordo,"sˈɛɹo͡ʊ ɡˈoː͡ɹdo͡ʊ
"
cherokee,t͡ʃˈɛɹo͡ʊkˌiː
chickasaw,"t͡ʃˈɪkɐsˌɔː
"
clarke,klˈɑː͡ɹk
clay,klˈe͡ɪ
clayton,klˈe͡ɪtən
clinton,klˈɪntən
county,"kˈa͡ʊnti
"
crawford,kɹˈɔːfɚd
dallas,dˈæləs
davis,dˈe͡ɪvɪs
decatur,"dᵻkˈe͡ɪɾɚ
"
delaware,dˈɛlɐwˌɛ͡ɹ
des moines,"dəmˈɔ͡ɪn
"
dickinson,dˈɪkɪnsən
dubuque,"dˈuːbjuːk
"
emmet,ˈɛmɪt
fayette,fe͡ɪˈɛt
floyd,flˈɔ͡ɪd
franklin,fɹˈæŋklɪn
fremont,fɹˈɛmɔnt
greene,ɡɹˈiːn
grundy,"ɡɹˈʌndi
"
guthrie,ɡˈʌθɹi
hamilton,hˈæmə͡ltən
hancock,hˈæŋkɑːk
hardin,hˈɑː͡ɹdɪn
harrison,hˈæɹɪsən
henry,hˈɛnɹi
howard,hˈa͡ʊɚd
humboldt,"hˈʌmbo͡ʊldt
"
ida,ˈa͡ɪdə
iowa,ˈa͡ɪəwə
jackson,d͡ʒˈæksən
jasper,d͡ʒˈæspɚ
jefferson,d͡ʒˈɛfɚsən
johnson,d͡ʒˈɑːnsən
jones,d͡ʒˈo͡ʊnz
keokuk,"kɪˈo͡ʊkʌk
"
kossuth,"kˈɑːsʌθ
"
lee,lˈiː
linn,lˈɪn
louisa,lˈuːɪsə
lucas,lˈuːkəz
lyon,lˈa͡ɪɑːn
madison,mˈædɪsən
mahaska,"mˈæhæskə
"
marion,mˈæɹi͡ən
marshall,mˈɑː͡ɹʃə͡l
mills,mˈɪlz
mitchell,mˈɪt͡ʃə͡l
monona,"mˈɑːno͡ʊnə
"
monroe,mˈɔnɹo͡ʊ
montgomery,mɑːntɡˈɑːmɚɹi
muscatine,"mˈʌskɐtˌiːn
"
o'brien,o͡ʊbɹˈa͡ɪ͡ən
osceola,"ˌɑːsɪˈo͡ʊlə
"
page,pˈe͡ɪd͡ʒ
palo alto,"pˈɑːlo͡ʊ ˈælto͡ʊ
"
plymouth,"plˈɪməθ
"
pocahontas,"pˈɑːkɐhˌɔntəz
"
polk,pˈɑːlk
pottawattamie,pˈɑːɾɐwˌɑːɾe͡ɪmi
poweshiek,"pˈa͡ʊɪʃˌiːk
"
ringgold,ɹˈɪŋɡo͡ʊld
sac,sˈæk
scott,skˈɑːt
shelby,ʃˈɛlbi
sioux,sˈuː
story,stˈoːɹi
tama,tˈɑːmə
taylor,tˈe͡ɪlɚ
union,jˈuːni͡ən
van buren,vˈæn bjˈʊ͡ɹɹən
wapello,"wˈe͡ɪpə͡lˌo͡ʊ
"
warren,wˈɔːɹən
washington,wˈɑːʃɪŋtən
wayne,wˈe͡ɪn
webster,wˈɛbstɚ
winnebago,"wˌɪnɪbˈe͡ɪɡo͡ʊ
"
winneshiek,"wˈɪnɪʃˌiːk
"
woodbury,wˈʊdbɛɹi
worth,wˈɜːθ
wright,ɹˈa͡ɪt
