,0
,
0,"zˈi͡əɹo͡ʊ
"
1,"wˈʌn
"
601,"sˈɪkshˈʌndɹɪd wˈʌn
"
`,
`everett,"ˈɛvɚɹɪt
"
a,ˈe͡ɪ
a ,"ˈe͡ɪ
"
a  ,ˈe͡ɪ
a  b,ɐ bˈiː
a  d,ɐ dˈiː
a  l,ɐ ˈɛl
a  m,ɐ ˈɛm
a  montgomery,"ɐ mɑːntɡˈɑːmɚɹi
"
a  w,ɐ dˈʌbə͡ljˌuː
a b,"ɐ bˈiː
"
a bliss,"ɐ blˈɪs
"
a bolumbu,"ɐ bˈɑːləmbˌuː
"
a c,"ɐ sˈiː
"
a chance,"ɐ t͡ʃˈæns
"
a chip,"ɐ t͡ʃˈɪp
"
a costello,"ɐ kɔstˈɛlo͡ʊ
"
a diaz,"ɐ dˈa͡ɪəz
"
a e,"ɐ ˈiː
"
a f,ɐ ˈɛf
a g,ɐ d͡ʒˈiː
a h,"ɐ ˈe͡ɪt͡ʃ
"
a j nichole,"ɐ d͡ʒˈe͡ɪ nˈɪʃo͡ʊl
"
a jessica,"ɐ d͡ʒˈɛsɪkə
"
a k,"ɐ kˈe͡ɪ
"
a kim,"ɐ kˈɪm
"
a l,"ɐ ˈɛl
"
a lene,"ɐ lˈiːn
"
a m,ɐ ˈɛm
a marshall,"ɐ mˈɑː͡ɹʃə͡l
"
a mcdermott,ɐ məkdˈɜːmɑːt
a n,"ɐ ˈɛn
"
a nn,"ɐ ˌɛnˈɛn
"
a oney,"ɐ wˈʌni
"
a p,ɐ pˈiː
a r,ɐ ˈɑː͡ɹ
a richer,"ɐ ɹˈɪt͡ʃɚ
"
a rose,"ɐ ɹˈo͡ʊz
"
a s,"ɐ ˈɛs
"
a t,"ɐ tˈiː
"
a thill,"ɐ thˈɪl
"
a thomas,"ɐ tˈɑːməs
"
a vermilla,"ɐ vɜːmˈɪlə
"
a w,"ɐ dˈʌbə͡ljˌuː
"
a y,"ɐ wˈa͡ɪ
"
a yauna,"ɐ jˈɔːnə
"
a'brae,"ɐbɹˈiː
"
a'dawn,"ɐdˈɔːn
"
a'del,"ɐdˈɛl
"
a'dell,"ɐdˈɛl
"
a'hjna,"ɐhd͡ʒnˈæ
"
a'hnna,ɐhnˈæ
a'lan,"ɐlˈæn
"
a'lee,"ɐlˈiː
"
a'lyce,"ɐlˈa͡ɪs
"
a'mil,"ɐmˈɪl
"
a'nysha,"ɐnˈɪʃə
"
a'sean,"ɐsˈi͡ən
"
a'shanique,"ɐʃɐnˈiːk
"
a'shari,"ɐʃˈɑː͡ɹɹi
"
a'shey,"ɐʃˈa͡ɪ
"
a.,ˈe͡ɪ
a. d. ,"ɐ dˈiː
"
a. m.,"ɐ ˈɛm
"
a.c.,"ˌe͡ɪsˈiː
"
a.e.,"ˌe͡ɪˈiː
"
a.f.,"ˌe͡ɪˈɛf
"
a.h.,"ˌe͡ɪˈe͡ɪt͡ʃ
"
a.l.,ˌe͡ɪˈɛl
a.m.,"ˌe͡ɪˈɛm
"
a.r,"ˌe͡ɪˈɑː͡ɹ
"
a.r.,"ˌe͡ɪˈɑː͡ɹ
"
a.s.,ˌe͡ɪˈɛs
aaber,ˈɑːbɚ
aadil,"ˈɑːdɪl
"
aaditi,"ɑːdˈiːɾi
"
aadne,"ˈɑːdni
"
aados,"ˈɑːdo͡ʊz
"
aagaard,ɑːɡˈɑː͡ɹd
aage,"ˈɑːd͡ʒ
"
aagesen,ˈɑːd͡ʒɛsən
aakhus,"ˈɑːkhəs
"
aalbers,ˈɑːlbɚz
aalexis,"ɑːlˈɛksɪs
"
aaliah lee,"ɑːlˈa͡ɪ͡ə lˈiː
"
aaliyah,əlˈiːə
aaliyah latrees,"əlˈiːə lˈætɹiːz
"
aaliyah yvonne,"əlˈiːə ɪvˈɑːn
"
aall ottesen,"ˈɑːl ˈɑːɾɛsən
"
aallan,"ˈɑːlən
"
aalyce,ˈɑːla͡ɪs
aalyn,"ˈɑːlɪn
"
aamer,"ˈɑːmɚ
"
aamid,"ˈɑːmɪd
"
aamir enos,ˈɑːmɪɹ ˈiːno͡ʊz
aamodt,"ˈɑːmɑːt
"
aanayah,"ˈɑːne͡ɪə
"
aanchal,"ˈɑːnt͡ʃə͡l
"
aanders,"ˈɑːndɚz
"
aanensen,"ˈɑːnɛnsən
"
aanes,ˈɑːnz
aanji,"ˈɑːnd͡ʒi
"
aanon,"ˈɑːnɑːn
"
aanonson,ˈɑːnɑːnsən
aarden,ˈɑː͡ɹdən
aaren,"ˈɑː͡ɹɹən
"
aareon,"ˈɑː͡ɹɹɪən
"
aaresha monique,"ˌɑː͡ɹɹˈɛʃə mənˈiːk
"
aarian,"ˈɑː͡ɹɹi͡ən
"
aariayana ,"ˈɑː͡ɹɹɪe͡ɪˈɑːnə
"
aaric,ˈɑː͡ɹɹɪk
aarin alfredo,"ˈɑː͡ɹɹɪn ælfɹˈe͡ɪdo͡ʊ
"
aarinola,"ˈɑː͡ɹɹɪnˈo͡ʊlə
"
aaroch,"ˈɑː͡ɹɹɑːk
"
aaron,ˈɛɹən
aaron andrew,"ˈɛɹən ˈændɹuː
"
aaron bradly,"ˈɛɹən bɹˈædli
"
aaron carman,"ˈɛɹən kˈɑː͡ɹmən
"
aaron christoph,"ˈɛɹən kɹˈɪstɑːf
"
aaron cleland,ˈɛɹən klˈɛlənd
aaron d'shaun,"ˈɛɹən dəʃˈɔːn
"
aaron dakota,ˈɛɹən dɐkˈo͡ʊɾə
aaron daniel,"ˈɛɹən dˈænjə͡l
"
aaron david,"ˈɛɹən dˈe͡ɪvɪd
"
aaron douglass,"ˈɛɹən dˈʌɡləs
"
aaron drake,"ˈɛɹən dɹˈe͡ɪk
"
aaron duane,"ˈɛɹən dwˈe͡ɪn
"
aaron elijah,"ˈɛɹən ᵻlˈa͡ɪd͡ʒə
"
aaron everette,"ˈɛɹən ˌɛvɚɹˈɛt
"
aaron gene,"ˈɛɹən d͡ʒˈiːn
"
aaron griffin,"ˈɛɹən ɡɹˈɪfɪn
"
aaron hernandez,"ˈɛɹən hɚnˈændɛz
"
aaron howard ha,"ˈɛɹən hˈa͡ʊɚd hˈɑː
"
aaron james,"ˈɛɹən d͡ʒˈe͡ɪmz
"
aaron joachim,"ˈɛɹən d͡ʒˈo͡ʊəkˌɪm
"
aaron john,"ˈɛɹən d͡ʒˈɑːn
"
aaron jonathon,ˈɛɹən d͡ʒˈɑːnəθən
aaron joseph,"ˈɛɹən d͡ʒˈo͡ʊsəf
"
aaron joshua jo,ˈɛɹən d͡ʒˈɑːʃjuːə d͡ʒˈo͡ʊ
aaron keith,"ˈɛɹən kˈiːθ
"
aaron larson,"ˈɛɹən lˈɑː͡ɹsən
"
aaron lee,"ˈɛɹən lˈiː
"
aaron leon john,"ˈɛɹən lˈiːɑːn d͡ʒˈɑːn
"
